Partner,Contract end date,Benefits for PPIAQ,Obligation Type
RACC,"May 1, 2028","- Financial support of AUD 1,500 over 3 years (paid - lumpsum) | - Discounted service fee for TR - 485 visa | - In-person event attendees: $200 RACC vouchers, win lucky draw prizes | - O-Week participants will also be given goody bags supplied by RACC.","- Instagram static posts: Once every two months. [Google Drive Link Provided] | - Instagram story posts: 2x Monthly | - Liking RACC posts."
Happy Shop,"July 28, 2027","- Provide 5% discount for PPIA cardholders | - Acknowledge PPIA Queensland as one of Happy Shop Indonesian Groceries proud partners (Posters to be put up)","- 1 Instagram story and 1 post per month | - 5% Discount when opening a stall at Pesta Rakyat | - Adlibs on PPIAQ's events (opening and closing) | - Medium logo size on event publication materials (e.g. ""Sponsored by:"")"
Shalom St Lucia,"March 18, 2027","- Provide 5% discount for PPIA cardholders - cash terms only | - Acknowledge PPIA Queensland as one of Happy Shop Indonesian Groceries proud partners (Posters to be put up)","- 1 Instagram story and 1 post per month | - 5% Discount when opening a stall at Pesta Rakyat | - Adlibs on PPIAQ's events (opening and closing) | - Medium logo size on event publication materials (e.g. ""Sponsored by:"")"
Sendok Garpu [TBD],"March 4, 2027","- Provide 10% discount for PPIA cardholders | - Acknowledge PPIA Queensland as one of Happy Shop Indonesian Groceries proud partners (Posters to be put up)","- 1 Instagram story and 1 post per month | - Re-sharing of SG's Instagram post on PPIAQ's IG story | - 10% Discount when opening a stall at Pesta Rakyat | - Adlibs on PPIAQ's events (opening and closing) | - Large logo size on event publication materials (e.g. ""Sponsored by:"")"
Tuya's Taste,"May 14, 2027","- Provide 10% discount on agreed items for PPIA cardholders (direct buying from Tuya Taste store, including online store), Tuya Taste weekly market, and any Tuya Taste stall at special events such as Pesta Rakyat). | - Acknowledge PPIA Queensland as one of Tuya Taste proud partners","- 2 Instagram story and 1 post per month | - 10% Discount when opening a stall at Pesta Rakyat | - Adlibs on PPIAQ's events (opening and closing) | - Large logo size on event publication materials (e.g. ""Sponsored by:"")"
Uumu Tea,"December 31, 2026","- Buy 1 Large drink get 1 free (limited to 1 person per pop up) | - 10% off catering orders","- Guarantee a 10% discount for tenant fee at Pesta Rakyat 2026 (either pre or main event) | - 2 Instagram posts on PPIAQ feed per MoU period | - 2 Instagram reels / TikTok video per MoU period"
